trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
1,2026-01-04 18:00:00-05:00,2026-01-04 19:00:00-05:00,long,4381.3999,4395.5499,4371.2999,4396.5499,14.15,10.15,1.005,new_york,3.0,1.0,4.0,0.0,23.1001,1,tp,0.7784
2,2026-01-05 07:00:00-05:00,2026-01-05 09:00:00-05:00,short,4418.3999,4432.3785,4431.3785,4406.4321,-13.9786,-17.9786,-1.3853,london,3.0,1.0,4.0,29.3999,0.0,2,sl,0.6161
3,2026-01-05 11:00:00-05:00,2026-01-05 22:00:00-05:00,long,4452.7002,4464.1823,4444.3788,4465.1823,11.4821,7.4821,0.8991,london,3.0,1.0,4.0,5.3003,25.5996,30,tp,0.7068
4,2026-01-06 04:00:00-05:00,2026-01-06 06:00:00-05:00,short,4453.5,4465.6643,4464.6643,4444.2536,-12.1643,-16.1643,-1.4479,asian,3.0,1.0,4.0,20.6001,0.0,2,sl,0.6651
5,2026-01-06 14:00:00-05:00,2026-01-06 15:00:00-05:00,short,4489.2002,4501.4073,4500.4073,4479.8895,-12.2072,-16.2072,-1.4461,overlap,3.0,1.0,4.0,15.0,0.0,1,sl,0.6048
6,2026-01-06 15:00:00-05:00,2026-01-06 20:00:00-05:00,long,4504.2002,4495.043,4496.043,4516.4359,-9.1572,-13.1572,-1.613,overlap,3.0,1.0,4.0,27.7002,1.5,4,sl,0.7508
7,2026-01-06 20:00:00-05:00,2026-01-06 21:00:00-05:00,short,4473.5,4485.3821,4484.3821,4464.6768,-11.8821,-15.8821,-1.4595,new_york,3.0,1.0,4.0,12.5,0.0,1,sl,0.6838
8,2026-01-07 05:00:00-05:00,2026-01-07 06:00:00-05:00,long,4474.2002,4465.2395,4466.2395,4486.1413,-8.9607,-12.9607,-1.6281,asian,3.0,1.0,4.0,17.3003,0.0,1,sl,0.6325
9,2026-01-07 07:00:00-05:00,2026-01-07 11:00:00-05:00,short,4451.5,4464.0036,4463.0036,4441.7447,-12.5036,-16.5036,-1.4346,london,3.0,1.0,4.0,22.7002,0.0,4,sl,0.7508
10,2026-01-07 11:00:00-05:00,2026-01-07 12:00:00-05:00,long,4474.2002,4463.9181,4464.9181,4488.1234,-10.2821,-14.2821,-1.5387,london,3.0,1.0,4.0,12.4004,0.0,1,sl,0.7125
11,2026-01-07 14:00:00-05:00,2026-01-07 20:00:00-05:00,long,4466.7998,4456.8391,4457.8391,4480.2408,-9.9607,-13.9607,-1.558,overlap,3.0,1.0,4.0,9.6997,5.4004,10,sl,0.6548
12,2026-01-07 20:00:00-05:00,2026-01-07 23:00:00-05:00,short,4454.1001,4445.3769,4465.5822,4444.3769,8.7232,4.7232,0.4113,new_york,3.0,1.0,4.0,0.0,13.5,3,tp,0.6678
13,2026-01-08 05:00:00-05:00,2026-01-08 06:00:00-05:00,long,4441.6001,4433.8823,4434.8823,4451.6768,-7.7178,-11.7178,-1.7443,asian,3.0,1.0,4.0,10.6001,0.0,1,sl,0.7899
14,2026-01-08 06:00:00-05:00,2026-01-08 09:00:00-05:00,short,4428.0,4438.7607,4437.7607,4420.859,-10.7607,-14.7607,-1.5123,asian,3.0,1.0,4.0,13.3999,0.0,3,sl,0.8182
15,2026-01-08 10:00:00-05:00,2026-01-08 15:00:00-05:00,long,4463.5,4474.8536,4455.2643,4475.8536,11.3536,7.3536,0.8929,london,3.0,1.0,4.0,4.6001,21.6001,5,tp,0.7258
16,2026-01-08 21:00:00-05:00,2026-01-09 08:00:00-05:00,short,4475.8999,4488.3571,4487.3571,4466.2142,-12.4572,-16.4572,-1.4364,new_york,3.0,1.0,4.0,16.1001,3.1001,30,sl,0.625
17,2026-01-09 08:00:00-05:00,2026-01-09 09:00:00-05:00,long,4492.0,4500.9803,4485.3464,4501.9803,8.9803,4.9803,0.7485,london,3.0,1.0,4.0,0.0,11.8999,1,tp,0.7176
18,2026-01-09 16:00:00-05:00,2026-01-11 18:00:00-05:00,short,4497.8999,4510.6677,4509.6677,4487.7481,-12.7678,-16.7678,-1.4249,new_york,3.0,1.0,4.0,52.2002,0.0,1,sl,0.63
19,2026-01-11 18:00:00-05:00,2026-01-11 19:00:00-05:00,long,4550.1001,4564.4536,4539.8644,4565.4536,14.3536,10.3536,1.0115,new_york,3.0,1.0,4.0,0.0,49.8999,1,tp,0.8245
20,2026-01-12 01:00:00-05:00,2026-01-12 03:00:00-05:00,long,4589.2998,4605.7267,4577.6819,4606.7267,16.4269,12.4269,1.0696,asian,3.0,1.0,4.0,0.0,17.7002,2,tp,0.6154
21,2026-01-12 08:00:00-05:00,2026-01-12 09:00:00-05:00,long,4626.2998,4615.3641,4616.3641,4641.2034,-10.9357,-14.9357,-1.5032,london,3.0,1.0,4.0,14.1997,0.0,1,sl,0.679
22,2026-01-12 14:00:00-05:00,2026-01-12 15:00:00-05:00,long,4620.6001,4610.7715,4611.7715,4633.843,-9.8286,-13.8286,-1.5663,overlap,3.0,1.0,4.0,17.3003,0.0,1,sl,0.6431
23,2026-01-12 15:00:00-05:00,2026-01-12 20:00:00-05:00,short,4600.2998,4590.5373,4612.4748,4589.5373,9.7625,5.7625,0.4733,overlap,3.0,1.0,4.0,8.5,13.8999,4,tp,0.85
24,2026-01-13 02:00:00-05:00,2026-01-13 03:00:00-05:00,short,4586.1001,4597.7287,4596.7287,4577.6572,-11.6286,-15.6286,-1.4704,asian,3.0,1.0,4.0,15.5,0.0,1,sl,0.8398
25,2026-01-13 04:00:00-05:00,2026-01-13 08:00:00-05:00,short,4592.2002,4603.7252,4602.7252,4583.9126,-11.525,-15.525,-1.4751,asian,3.0,1.0,4.0,27.2998,0.0,6,sl,0.6547
26,2026-01-13 13:00:00-05:00,2026-01-13 19:00:00-05:00,short,4599.2998,4613.1034,4612.1034,4587.5945,-13.8036,-17.8036,-1.3905,overlap,3.0,1.0,4.0,17.6001,5.1997,5,sl,0.6374
27,2026-01-13 19:00:00-05:00,2026-01-13 22:00:00-05:00,long,4616.8999,4630.8731,4606.9178,4631.8731,13.9732,9.9732,0.9991,new_york,3.0,1.0,4.0,0.0,19.6001,3,tp,0.6973
28,2026-01-14 05:00:00-05:00,2026-01-14 09:00:00-05:00,long,4641.2002,4633.0823,4634.0823,4651.877,-8.1179,-12.1179,-1.7025,asian,3.0,1.0,4.0,16.7002,5.6997,7,sl,0.7307
29,2026-01-14 09:00:00-05:00,2026-01-14 13:00:00-05:00,short,4621.5,4633.0322,4632.0322,4613.2017,-11.5322,-15.5322,-1.4747,london,3.0,1.0,4.0,21.0,0.2002,4,sl,0.6821
30,2026-01-14 14:00:00-05:00,2026-01-14 16:00:00-05:00,long,4646.7002,4637.1644,4638.1644,4659.5038,-9.5358,-13.5358,-1.5858,overlap,3.0,1.0,4.0,12.8003,0.0,2,sl,0.85
31,2026-01-14 19:00:00-05:00,2026-01-14 20:00:00-05:00,short,4616.2998,4606.7087,4628.3605,4605.7087,9.5911,5.5911,0.4636,new_york,3.0,1.0,4.0,0.0,12.0,1,tp,0.85
32,2026-01-15 01:00:00-05:00,2026-01-15 08:00:00-05:00,long,4614.5,4603.9929,4604.9929,4628.7607,-10.5071,-14.5071,-1.5259,asian,3.0,1.0,4.0,22.8999,9.7002,9,sl,0.6604
33,2026-01-15 08:00:00-05:00,2026-01-15 09:00:00-05:00,short,4588.6001,4600.9715,4599.9715,4579.043,-12.3714,-16.3714,-1.4397,london,3.0,1.0,4.0,26.2998,0.0,1,sl,0.6708
34,2026-01-15 13:00:00-05:00,2026-01-15 15:00:00-05:00,long,4622.1001,4612.9323,4613.9323,4634.3518,-9.1678,-13.1678,-1.6122,overlap,3.0,1.0,4.0,12.3003,0.0,2,sl,0.802
35,2026-01-15 15:00:00-05:00,2026-01-15 16:00:00-05:00,short,4606.7998,4618.5819,4617.5819,4598.1266,-11.7821,-15.7821,-1.4637,overlap,3.0,1.0,4.0,13.7002,0.0,1,sl,0.6521
36,2026-01-15 16:00:00-05:00,2026-01-15 19:00:00-05:00,long,4620.5,4611.8036,4612.8036,4632.0446,-8.6964,-12.6964,-1.6497,new_york,3.0,1.0,4.0,16.1001,0.0,3,sl,0.6476
37,2026-01-16 00:00:00-05:00,2026-01-16 01:00:00-05:00,long,4615.3999,4607.7106,4608.7106,4625.4338,-7.6893,-11.6893,-1.7475,asian,3.0,1.0,4.0,13.6001,0.0,1,sl,0.7311
38,2026-01-16 02:00:00-05:00,2026-01-16 04:00:00-05:00,long,4611.5,4603.9393,4604.9393,4621.3411,-7.5607,-11.5607,-1.7621,asian,3.0,1.0,4.0,7.2998,0.0,2,sl,0.6625
39,2026-01-16 05:00:00-05:00,2026-01-16 06:00:00-05:00,short,4601.1001,4611.693,4610.693,4594.2108,-10.5929,-14.5929,-1.5212,asian,3.0,1.0,4.0,15.3999,0.0,1,sl,0.684
40,2026-01-16 06:00:00-05:00,2026-01-16 07:00:00-05:00,long,4616.5,4608.8464,4609.8464,4626.4804,-7.6536,-11.6536,-1.7515,asian,3.0,1.0,4.0,10.7998,0.0,1,sl,0.7492
41,2026-01-16 09:00:00-05:00,2026-01-16 10:00:00-05:00,long,4611.8999,4603.5606,4604.5606,4622.9088,-8.3393,-12.3393,-1.6813,london,3.0,1.0,4.0,37.1001,0.0,1,sl,0.6305
