trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
1,2026-02-27 08:00:00-05:00,2026-03-01 18:00:00-05:00,long,5240.7998,5292.2078,5214.5958,5293.2078,51.408,47.408,1.8092,london,3.0,1.0,4.0,0.0,159.6001,9,tp,0.7
2,2026-03-03 08:00:00-05:00,2026-03-03 09:00:00-05:00,short,5163.5,5115.835,5192.3325,5114.835,47.665,43.665,1.5144,london,3.0,1.0,4.0,0.0,115.5,1,tp,0.7
3,2026-03-09 08:00:00-04:00,2026-03-09 14:00:00-04:00,short,5100.1001,5129.6156,5128.6156,5052.0691,-29.5155,-33.5155,-1.1753,london,3.0,1.0,4.0,33.1001,18.6001,6,sl,0.7
4,2026-03-26 08:00:00-04:00,2026-03-30 23:00:00-04:00,short,4423.7998,4585.8999,4448.9338,4382.5318,-162.1001,-166.1001,-6.6086,london,3.0,1.0,4.0,0.0,0.0,0,end_of_data,0.7
