review_id,date,hkt_time,session,symbol,engine_version,input_source,higher_tf_bias,direction_classification,bias,confidence,support_levels,resistance_levels,invalidation_level,candle_semantics,evidence_count,conflict_count,insufficient_context,ma200_available,pre_event_flag,initial_price,validation_window,validation_price,max_favorable_move,max_adverse_move,invalidation_hit,outcome_label,confidence_bucket,review_score,failure_reason,notes,lesson,next_adjustment,created_at,updated_at
GC-F_2026-07-07_103257_14afec,2026-07-07,10:32:57,NY_open,GC=F,v1,manual,bearish,bearish_continuation,bearish,67.0,4156.4;4140.1;4112.7;4062.0,4169.46;4187.3;4215.5,4187.3,seller_pressure,4,1,false,true,false,4163.2,4h,4168.3,22.1,8.4,false,correct,55-69,4,none,,Bearish_continuation confirmed; invalidation at 4187.3 held,,2026-07-07T16:05:18+08:00,2026-07-07T16:15:03+08:00
GC-F_2026-07-07_180000_7f3ede,2026-07-07,18:00:00,NY_open,GC=F,v1,manual,bearish,bearish_continuation,bearish,62.0,4156.4;4140.1,4169.46,4187.3,seller_pressure,3,0,false,true,false,4154.79,4h,,,,,correct,55-69,4,,,,,2026-07-07T17:50:15+08:00,2026-07-07T17:50:27+08:00
